,record_name,ref_code,ref_name,ref_unit
953,"Кабель МКШнг(А)-LSLTx 2х1 0,5/0,75 кВ",27.32.13.152.21.1.04.09-0001-000,"Кабель телефонный однопарный с медными жилами в полиэтиленовой оболочке с полиэтиленовой изоляцией, сечение 2х1,2 мм2",1000 м
954,"Кабель МКШнг(А)-LSLТх 2x1 0,5/0,75 кВ",27.32.13.152.21.1.04.09-0001-000,"Кабель телефонный однопарный с медными жилами в полиэтиленовой оболочке с полиэтиленовой изоляцией, сечение 2х1,2 мм2",1000 м
955,"Кабель монтажные с полимерной изоляцией, не распространяющие горение, с пониженным газо-, дымовыделением, ТУ3581-003-17648068-2014 МКШнг(А)-LSLTx 2х1,0",27.32.13.152.21.1.04.09-0001-000,"Кабель телефонный однопарный с медными жилами в полиэтиленовой оболочке с полиэтиленовой изоляцией, сечение 2х1,2 мм2",1000 м
956,"Кабель монтажные с полимерной изоляцией, не распространяющие горение, с пониженным газо-, дымовыделением, ТУ3581-003-17648068-2014 экранированный МКЭШнг(А)-LSLTx 2х0,75",27.32.13.152.21.1.04.09-0001-000,"Кабель телефонный однопарный с медными жилами в полиэтиленовой оболочке с полиэтиленовой изоляцией, сечение 2х1,2 мм2",1000 м
957,"Кабель монтажный, с медной луженой жилой, изоляцией и оболочкой из полимерных композиций, не содержащих галогенов МКШВнг(А)-HF 1х2х0,75",27.32.13.152.21.1.04.09-0001-000,"Кабель телефонный однопарный с медными жилами в полиэтиленовой оболочке с полиэтиленовой изоляцией, сечение 2х1,2 мм2",1000 м
958,"Кабель монтажный, с медной луженой жилой, изоляцией и оболочкой из полимерных композиций, не содержащих галогенов, экранированный МКЭШВнг(А)-HF 1х2х0,5",27.32.13.152.21.1.04.09-0001-000,"Кабель телефонный однопарный с медными жилами в полиэтиленовой оболочке с полиэтиленовой изоляцией, сечение 2х1,2 мм2",1000 м
959,Кабель связи витая пара U/UTP кат.5E 4х2х0.5 медь ПВХ Generica ITK,27.32.13.152.21.1.04.09-0001-000,"Кабель телефонный однопарный с медными жилами в полиэтиленовой оболочке с полиэтиленовой изоляцией, сечение 2х1,2 мм2",1000 м
960,"ЛАН ЮНИОН Кабель Премиум экранированный F/UTP, 4 пары, Кат.5е (Класс D), 100 МГц, проводники одножильные из чистой меди, AWG 24, огнестойкий, PVCLS Hr(A)-FRLSLTx, цвет зеленый, катушка 305 м",27.32.13.152.21.1.04.09-0001-000,"Кабель телефонный однопарный с медными жилами в полиэтиленовой оболочке с полиэтиленовой изоляцией, сечение 2х1,2 мм2",1000 м
961,"ЛАН ЮНИОН Кабель Премиум экранированный F/UTP, 4 пары, Кат.5е (Класс D), 100 МГц, проводники одножильные из чистой меди, AWG 24, огнестойкий, PVCLS Hг(A)-FRLSLTx, цвет зеленый, катушка 305 м",27.32.13.152.21.1.04.09-0001-000,"Кабель телефонный однопарный с медными жилами в полиэтиленовой оболочке с полиэтиленовой изоляцией, сечение 2х1,2 мм2",1000 м
962,"ЛАН ЮНИОН Кабель Премиум экранированный F/UTP, 4 пары, Кат.5е (Класс D), 200 МГц, проводники одножильные из чистой меди, AWG 24, внутренний, LSZH нг(А)-НF, цвет оранжевый, коробка 305 м",27.32.13.152.21.1.04.09-0001-000,"Кабель телефонный однопарный с медными жилами в полиэтиленовой оболочке с полиэтиленовой изоляцией, сечение 2х1,2 мм2",1000 м
963,"ЛАН ЮНИОН Кабель Премиум экранированный S/FTP, 4 пары, Кат.6А (Класс ЕА), 900 МГц, проводники одножильные из чистой меди, AWG 23, внутренний, LSZH нг(А)-НF, цвет оранжевый, катушка 305 м",27.32.13.152.21.1.04.09-0001-000,"Кабель телефонный однопарный с медными жилами в полиэтиленовой оболочке с полиэтиленовой изоляцией, сечение 2х1,2 мм2",1000 м
964,Кабель витая пара U/UTP кат.5E 4х2х24AWG solid CU PVC сер. (м) GENERICA BC1-C5E04-111-305-G,27.32.13.152.21.1.04.03-0017-000,"Кабель телефонный ТГ 10х2х0,64",1000 м
965,Кабель витая пара U/UTP кат.5Е 4x2x24AWG solid CU PVC Generica cep. (m) ITK BC1-C5E04-111 -305-G,27.32.13.152.21.1.04.03-0017-000,"Кабель телефонный ТГ 10х2х0,64",1000 м
966,"Hyperline UUTP4-C5E-S24-IN-PVC-GY-305 (305 м) Кабель витая пара, неэкранированная U/UTP, категория 5е, 4 пары (24 AWG), одножильный (solid), PVC, -20°С - +75°С, серый - гарантия: 15 лет компонентная, 25 лет системная (Hyperline)",27.32.13.152.21.1.04.03-0018-000,"Кабель телефонный ТГ 20х2х0,64",1000 м
967,Артикул:Известняк серый Ничрасский Описание: Известняк Размер: 20х40х3 Цвет: серый Характеристика: матовый,23.70.12.110.01.7.10.03-0011-000,"Камни из известняка, месторождение Андреевское, ширина 150, 250, 450 мм, толщина 30 мм",м3
968,"ЕАХ 410 С Клеевой анкер (винилэстер, без стирола)",20.52.10.190.14.1.06.06-1005-000,"Капсулы клеевые для химического анкера с наружной резьбой М8, длина капсулы 80 мм",10 шт
969,"Хим. анкер HIMTEX EASF 300 мл эпокси-акрилат для любого бетона, кирпича",20.52.10.190.14.1.06.06-1005-000,"Капсулы клеевые для химического анкера с наружной резьбой М8, длина капсулы 80 мм",10 шт
970,NC1008 Пруток-катанка горячеоцинк. 8мм ДКС,24.10.61.120.08.3.04.01-1024-000,"Катанка из углеродистой стали, марки стали Ст3сп, Ст3пс, диаметр 5-9 мм",т
971,"Катанка ф8 (6м=2,8кг,ст3сп/пс)",24.10.61.120.08.3.04.01-1024-000,"Катанка из углеродистой стали, марки стали Ст3сп, Ст3пс, диаметр 5-9 мм",т
972,"Кирпич КР-л-пу 250х120х65/1НФ 175/1,4/100 175 терракот",23.61.11.131.05.2.03.13-0002-000,"Кирпич силикатный лицевой полнотелый одинарный, размеры 250х120х65 мм, марка 100",1000 шт
973,"Кирпич КР-л-пу 250х120х65/1НФ 200/1,4/100 200 серый Е",23.61.11.131.05.2.03.13-0002-000,"Кирпич силикатный лицевой полнотелый одинарный, размеры 250х120х65 мм, марка 100",1000 шт
974,Кирпич КР-р-по 1 НФ 250х120х65 13% М250 СОРТ 1,23.61.11.131.05.2.03.13-0002-000,"Кирпич силикатный лицевой полнотелый одинарный, размеры 250х120х65 мм, марка 100",1000 шт
975,"Кирпич лицевой светло-коричневый лиц. ст. 20мм, 1НФ",23.61.11.131.05.2.03.13-0002-000,"Кирпич силикатный лицевой полнотелый одинарный, размеры 250х120х65 мм, марка 100",1000 шт
976,Кирпич полнотелый КРО М-175 250x120x65мм,23.61.11.131.05.2.03.13-0002-000,"Кирпич силикатный лицевой полнотелый одинарный, размеры 250х120х65 мм, марка 100",1000 шт
977,Кирпич полнотелый КРО М-175 250x120x65мм ОБОЛЬСКИЙ КЗ,23.61.11.131.05.2.03.13-0002-000,"Кирпич силикатный лицевой полнотелый одинарный, размеры 250х120х65 мм, марка 100",1000 шт
978,Кирпич лицевой полнотелый красный 1НФ М-400,23.61.11.131.05.2.03.14-0004-000,"Кирпич силикатный лицевой полнотелый фактурный, рустированный с ложка, размеры 250х95х65 мм, марка 150-200, цвет зеленый, красный, терракотовый, черный",1000 шт
979,Кирпич лицевой полнотелый красный рустик флеш 1НФ М-400,23.61.11.131.05.2.03.14-0004-000,"Кирпич силикатный лицевой полнотелый фактурный, рустированный с ложка, размеры 250х95х65 мм, марка 150-200, цвет зеленый, красный, терракотовый, черный",1000 шт
980,Кирпич лицевой полнотелый красный флеш 1НФ М-400,23.61.11.131.05.2.03.14-0004-000,"Кирпич силикатный лицевой полнотелый фактурный, рустированный с ложка, размеры 250х95х65 мм, марка 150-200, цвет зеленый, красный, терракотовый, черный",1000 шт
981,"Кирпич лицевой пустотелый коричневый, Гладкий 1НФ М-175",23.61.11.131.05.2.03.15-0002-000,"Кирпич силикатный лицевой пустотелый утолщенный, размеры 250х120х88 мм, марка 150-200, цвет желтый, коричневый",1000 шт
982,"Кирпич лицевой пустотелый тёмно-коричневый, Гладкий 1NF M-175",23.61.11.131.05.2.03.15-0002-000,"Кирпич силикатный лицевой пустотелый утолщенный, размеры 250х120х88 мм, марка 150-200, цвет желтый, коричневый",1000 шт
983,Кирпич лицевой пустотелый красный рустик флеш 1NF M-175,23.61.11.131.05.2.03.15-0003-000,"Кирпич силикатный лицевой пустотелый утолщенный, размеры 250х120х88 мм, марка 150-200, цвет зеленый, красный, терракотовый, черный",1000 шт
984,Кирпич лицевой пустотелый красный флеш 1NF M-175,23.61.11.131.05.2.03.15-0003-000,"Кирпич силикатный лицевой пустотелый утолщенный, размеры 250х120х88 мм, марка 150-200, цвет зеленый, красный, терракотовый, черный",1000 шт
985,"Кирпич лицевой пустотелый красный, Гладкий 1NF M-175",23.61.11.131.05.2.03.15-0003-000,"Кирпич силикатный лицевой пустотелый утолщенный, размеры 250х120х88 мм, марка 150-200, цвет зеленый, красный, терракотовый, черный",1000 шт
986,"Кирпич керамический рядовой одинарный полнотелый 250x120x65, М-175",23.61.11.131.05.2.03.16-0002-000,"Кирпич силикатный полнотелый одинарный, размеры 250х120х65 мм, марка 100",1000 шт
987,Кирпич КР-л-по 1НФ Белый Руст условно-полнотелый 11% М300,23.61.11.131.05.2.03.16-0002-000,"Кирпич силикатный полнотелый одинарный, размеры 250х120х65 мм, марка 100",1000 шт
988,"Кирпич КР-л-ПО 250х120х65/1НФ 300/2,0/100 условно-полнотелый 11% М300 серый",23.61.11.131.05.2.03.16-0002-000,"Кирпич силикатный полнотелый одинарный, размеры 250х120х65 мм, марка 100",1000 шт
989,Кирпич рядовой полнотелый 1 НФ 6% 250*120*65          М-200,23.61.11.131.05.2.03.16-0002-000,"Кирпич силикатный полнотелый одинарный, размеры 250х120х65 мм, марка 100",1000 шт
990,Кирпич рядовой полнотелый 1 НФ 6% 250*120*65 М-200,23.61.11.131.05.2.03.16-0002-000,"Кирпич силикатный полнотелый одинарный, размеры 250х120х65 мм, марка 100",1000 шт
991,Кирпич рядовой полнотелый 6% 250*120*65 / 1 НФ М-200,23.61.11.131.05.2.03.16-0002-000,"Кирпич силикатный полнотелый одинарный, размеры 250х120х65 мм, марка 100",1000 шт
992,Кирпич рядовой полнотелый 6% 250*120*65 /1 НФ М-200,23.61.11.131.05.2.03.16-0002-000,"Кирпич силикатный полнотелый одинарный, размеры 250х120х65 мм, марка 100",1000 шт
993,Кирпич рядовой полнотелый 6% 250*120*65/ 1НФ М-175 Хранение,23.61.11.131.05.2.03.16-0002-000,"Кирпич силикатный полнотелый одинарный, размеры 250х120х65 мм, марка 100",1000 шт
994,"Автоматический спускной вентиль 1/2 """" CO-19-015",28.14.11.129.69.1.03.01-0022-000,"Клапан автоматический балансировочный с внутренней резьбой, с изменяемой настройкой, со спускным краном и импульсной трубкой, диапазон перепада давления 0,02-0,06 МПа, диаметр 50 мм",компл
995,Ручной балансировочный клапан с дренажем MVT- R DN40,28.14.11.121.18.1.06.01-1004-000,"Клапан балансировочный ручной, присоединение к трубопроводу фланцевое, номинальное давление 2,5 МПа, номинальный диаметр 100 мм",шт
996,Ручной балансировочный клапан с дренажем MVT- R DN50,28.14.11.121.18.1.06.01-1004-000,"Клапан балансировочный ручной, присоединение к трубопроводу фланцевое, номинальное давление 2,5 МПа, номинальный диаметр 100 мм",шт
997,Воздушный клапан KBK 100M,28.14.11.121.19.3.01.06-0039-000,"Клапан воздушный под ручной привод или электропривод ВК, размеры 100х150 мм",шт
998,Воздушный клапан KBK 125M,28.14.11.121.19.3.01.06-0039-000,"Клапан воздушный под ручной привод или электропривод ВК, размеры 100х150 мм",шт
999,"Дроссель-клапан (кр) 100- 120-0,5-Нп с площадкой с силиконовым уплотнителем",28.14.13.110.18.1.06.01-0021-000,"Клапан запорно-балансировочный, муфтовый, латунный, ручной, с измерительным ниппелем и дренажным краном, номинальное давление 1,6 МПа, номинальный диаметр 15 мм",шт
